,CycleReorder,Amphr
779,1,0.02864222
1350,2,0.02862147
1920,3,0.02860667
2490,4,0.0286104
3060,5,0.02860813
3629,6,0.02860391
4198,7,0.02860165
4767,8,0.02859871
5336,9,0.02859942
5905,10,0.02860214
6474,11,0.02860187
7043,12,0.02860618
7612,13,0.02860556
8181,14,0.028602
8750,15,0.02859951
9319,16,0.02859965
9888,17,0.02860023
10457,18,0.02859645
11026,19,0.0285988
11595,20,0.02860018
12164,21,0.0286116
12733,22,0.02860942
13302,23,0.02860298
13871,24,0.02859671
14440,25,0.02859276
15646,26,0.02867666
16216,27,0.02863369
16786,28,0.02862924
17356,29,0.02862738
17926,30,0.0286216
18495,31,0.02861262
19065,32,0.02860822
19635,33,0.02859836
20205,34,0.02858627
20775,35,0.02858498
21345,36,0.02858089
21915,37,0.02858583
22485,38,0.02858529
23055,39,0.02858036
23625,40,0.02857872
24195,41,0.02857698
24765,42,0.02856503
25334,43,0.02855592
25903,44,0.02854405
26472,45,0.02854432
27041,46,0.02854801
27610,47,0.02854828
28179,48,0.02854943
28748,49,0.02854139
29317,50,0.02854196
30520,51,0.02857534
31093,52,0.02870573
31661,53,0.02842331
32230,54,0.0284965
32799,55,0.02849646
33367,56,0.02848295
33935,57,0.02848006
34503,58,0.02847877
35071,59,0.02847335
35639,60,0.02847077
36207,61,0.02846519
36775,62,0.02846141
37343,63,0.02845735
37911,64,0.02845502
38480,65,0.02844696
39049,66,0.0284419
39617,67,0.02844007
40185,68,0.0284383
40753,69,0.02843607
41321,70,0.02843378
41889,71,0.02843444
42457,72,0.02842838
43025,73,0.02842373
43593,74,0.02842029
44161,75,0.02841744
45434,76,0.0284806
46002,77,0.02841202
46569,78,0.0283934
47136,79,0.02839047
47703,80,0.02838176
48270,81,0.02837838
48837,82,0.02836692
49405,83,0.02836367
49972,84,0.0283655
50540,85,0.02836149
51108,86,0.02836061
51676,87,0.02835661
52243,88,0.0283483
52810,89,0.02833759
53377,90,0.02833394
53944,91,0.02832897
54511,92,0.0283255
55078,93,0.02832692
55645,94,0.02832412
56212,95,0.02831928
56779,96,0.02831684
57346,97,0.0283063
57912,98,0.02830466
58478,99,0.02830164
59045,100,0.02829559
60246,101,0.02835759
60812,102,0.0283027
61378,103,0.02827475
61944,104,0.02826133
62510,105,0.02825942
