,CycleReorder,Volts
873,1,3.85160601
1825,2,3.85130083
2776,3,3.85114824
3727,4,3.85084306
4677,5,3.85114824
5627,6,3.85145342
6576,7,3.85160601
7525,8,3.85206378
8473,9,3.85236896
9421,10,3.85252155
10369,11,3.8532845
11315,12,3.85358968
12261,13,3.85404746
13208,14,3.85450523
14153,15,3.85481041
15099,16,3.85526818
16044,17,3.85542077
16990,18,3.85587854
17934,19,3.8564889
18879,20,3.85679408
19824,21,3.85694667
20768,22,3.85786221
21713,23,3.85847257
22658,24,3.85893034
23602,25,3.85908293
26663,26,3.85694667
27608,27,3.8564889
28551,28,3.85755703
29495,29,3.85831998
30438,30,3.85862516
31381,31,3.85923552
32323,32,3.85999847
33265,33,3.86030365
34207,34,3.86137179
35148,35,3.86167697
36089,36,3.86213474
37030,37,3.86259251
37970,38,3.86289769
38910,39,3.86366064
39850,40,3.864271
40790,41,3.86488136
41730,42,3.86549172
42669,43,3.8657969
43608,44,3.86610208
44547,45,3.86640726
45486,46,3.86671244
46424,47,3.86701762
47361,48,3.86701762
48299,49,3.86747539
49237,50,3.86808576
52277,51,3.8673228
53216,52,3.86701762
54154,53,3.8673228
55092,54,3.86823835
56029,55,3.86869612
56966,56,3.86961166
57903,57,3.86961166
58839,58,3.86991684
59775,59,3.8705272
60710,60,3.87098497
61646,61,3.87129015
62580,62,3.87190051
63515,63,3.87190051
64450,64,3.87220569
65384,65,3.87266346
66318,66,3.87281605
67253,67,3.87327382
68187,68,3.87342641
69121,69,3.87342641
70055,70,3.87388418
70989,71,3.87403677
71923,72,3.87464714
72856,73,3.87479973
73790,74,3.87541009
74723,75,3.87556268
77807,76,3.87663081
78741,77,3.87586786
79675,78,3.87602045
80608,79,3.87617304
81541,80,3.87617304
82474,81,3.87617304
83407,82,3.87647822
84339,83,3.8767834
85270,84,3.87724117
86202,85,3.87724117
87134,86,3.87708858
88065,87,3.87769894
88997,88,3.87769894
89929,89,3.87785153
90860,90,3.87800412
91791,91,3.87876707
92721,92,3.87846189
93652,93,3.87846189
94583,94,3.87891966
95514,95,3.87907225
96445,96,3.87907225
97375,97,3.87891966
98305,98,3.87937743
99235,99,3.87968261
100165,100,3.87968261
103208,101,3.88181888
104139,102,3.88059815
105069,103,3.88059815
105999,104,3.87968261
106929,105,3.87998779
107858,106,3.88029297
108788,107,3.88044556
109716,108,3.88059815
110644,109,3.88059815
111573,110,3.88044556
112502,111,3.88075074
113431,112,3.88059815
114359,113,3.88075074
115287,114,3.88105592
116216,115,3.88090333
117144,116,3.88105592
118071,117,3.8813611
118999,118,3.88151369
119927,119,3.8813611
120855,120,3.88166629
121783,121,3.88166629
122711,122,3.88181888
123638,123,3.88181888
124566,124,3.88227665
125494,125,3.88242924
128532,126,3.88502327
129461,127,3.88334478
130389,128,3.88349737
131316,129,3.8830396
132244,130,3.88288701
133172,131,3.88288701
134099,132,3.8830396
135026,133,3.88288701
135953,134,3.88288701
136880,135,3.88273442
137807,136,3.88273442
138734,137,3.8830396
139660,138,3.88242924
140586,139,3.88258183
141512,140,3.88258183
142438,141,3.88227665
143364,142,3.88273442
144290,143,3.88288701
145216,144,3.88273442
146142,145,3.88273442
147067,146,3.88288701
147992,147,3.88273442
148917,148,3.8830396
149845,149,3.88639658
150771,150,3.88487068
151697,151,3.88502327
152622,152,3.88502327
153548,153,3.88502327
154473,154,3.88502327
155398,155,3.88487068
156322,156,3.88502327
157247,157,3.88532845
158172,158,3.88517586
159097,159,3.88563363
160022,160,3.88578622
160946,161,3.88517586
161871,162,3.88563363
162796,163,3.88593881
163721,164,3.8860914
164646,165,3.88593881
165571,166,3.88593881
166496,167,3.88624399
167421,168,3.8860914
168346,169,3.88593881
