,CycleReorder,Volts
809,1,3.37949187
1380,2,3.3790341
1951,3,3.37888151
2522,4,3.37781338
3093,5,3.37689784
3664,6,3.37582971
4235,7,3.37491417
4806,8,3.3744564
5376,9,3.3727779
5946,10,3.37186236
6516,11,3.37140459
7085,12,3.37003128
7654,13,3.36926833
8223,14,3.36896315
8793,15,3.36804761
9363,16,3.36743725
9933,17,3.36621653
10503,18,3.36560616
11072,19,3.36438544
11641,20,3.36316472
12211,21,3.36179141
12781,22,3.36179141
13350,23,3.36087587
13919,24,3.3604181
14488,25,3.35965515
15694,26,3.3509575
16265,27,3.3509575
16835,28,3.35080491
17404,29,3.35065232
17973,30,3.35080491
18543,31,3.35065232
19113,32,3.35004196
19683,33,3.34988937
20253,34,3.34988937
20823,35,3.34897383
21392,36,3.34882124
21962,37,3.34775311
22532,38,3.34699016
23102,39,3.34683757
23671,40,3.34622721
24240,41,3.34546426
24809,42,3.34576944
25377,43,3.34546426
25945,44,3.34546426
26513,45,3.34485389
27081,46,3.34393835
27649,47,3.34363317
28217,48,3.34271763
28785,49,3.34256504
29353,50,3.34180209
30557,51,3.32791638
31131,52,3.30869001
31698,53,3.33005264
32266,54,3.330663
32835,55,3.33035782
33404,56,3.33142596
33973,57,3.33127337
34542,58,3.33081559
35111,59,3.33096818
35679,60,3.33096818
36246,61,3.33096818
36813,62,3.33051041
37380,63,3.33035782
37947,64,3.33035782
38514,65,3.33005264
39081,66,3.33020523
39649,67,3.33005264
40217,68,3.32959487
40785,69,3.32944228
41353,70,3.32898451
41921,71,3.32822156
42489,72,3.32822156
43057,73,3.32837415
43625,74,3.32791638
44193,75,3.32776379
45468,76,3.30746929
46036,77,3.31036851
46604,78,3.31235218
47172,79,3.31342031
47740,80,3.31418326
48308,81,3.31540398
48876,82,3.31616693
49444,83,3.31601434
50012,84,3.31616693
50579,85,3.3166247
51146,86,3.3166247
51713,87,3.31708248
52280,88,3.31708248
52847,89,3.31723507
53414,90,3.31723507
53981,91,3.31769284
54547,92,3.31738766
55114,93,3.31708248
55681,94,3.31723507
56247,95,3.3166247
56813,96,3.31692988
57380,97,3.31692988
57947,98,3.31647211
58514,99,3.31647211
59081,100,3.3166247
60283,101,3.30350195
60851,102,3.30411231
61418,103,3.30594339
61984,104,3.30685893
62550,105,3.30716411
63116,106,3.30853742
63683,107,3.30853742
64249,108,3.30975814
64815,109,3.30975814
65381,110,3.31006332
65947,111,3.3105211
66513,112,3.30991073
67079,113,3.31082628
67644,114,3.31067369
68209,115,3.3105211
68774,116,3.31113146
69339,117,3.31097887
69904,118,3.31128405
70469,119,3.31113146
71035,120,3.31036851
71601,121,3.3105211
72167,122,3.3105211
72733,123,3.31067369
73299,124,3.31113146
73864,125,3.31097887
75064,126,3.29770352
75630,127,3.29846647
76195,128,3.29922942
76761,129,3.30029755
77327,130,3.30090791
77892,131,3.30212863
78457,132,3.3025864
79021,133,3.30304417
79585,134,3.30350195
80149,135,3.30411231
80713,136,3.30457008
81278,137,3.30411231
81843,138,3.30487526
82408,139,3.30502785
82973,140,3.30518044
83538,141,3.30533303
84103,142,3.30533303
84668,143,3.30533303
85238,144,3.25070573
85812,145,3.29663539
86377,146,3.29755093
86942,147,3.29877165
87507,148,3.29938201
88071,149,3.30121309
88635,150,3.30167086
89199,151,3.30182345
89764,152,3.30273899
90328,153,3.30289158
90892,154,3.30273899
91456,155,3.30319677
92020,156,3.30289158
92584,157,3.30273899
93148,158,3.30350195
93712,159,3.30334936
94276,160,3.30304417
94840,161,3.30365454
95403,162,3.30380713
95966,163,3.30365454
96529,164,3.30350195
97092,165,3.30334936
97655,166,3.30350195
98218,167,3.30365454
98781,168,3.30350195
99344,169,3.30334936
99907,170,3.30334936
100470,171,3.30395972
101034,172,3.30365454
101597,173,3.30334936
102160,174,3.30350195
102723,175,3.30319677
103872,176,3.276493
104436,177,3.278782
104999,178,3.2829019999999995
105561,179,3.285039
106124,180,3.287327
106687,181,3.2890059999999997
107250,182,3.2906839999999997
107812,183,3.2908370000000002
108374,184,3.29221
108935,185,3.291752
109498,186,3.2920580000000004
110060,187,3.2935839999999996
110621,188,3.2940410000000004
111182,189,3.2934309999999996
111743,190,3.2951089999999996
112304,191,3.295415
112865,192,3.2955669999999997
113426,193,3.29633
113988,194,3.295415
114549,195,3.295262
115110,196,3.295262
115671,197,3.2955669999999997
116232,198,3.2955669999999997
116793,199,3.2966349999999998
117354,200,3.297856
117916,201,3.2973980000000003
118478,202,3.2975510000000003
119039,203,3.297856
119600,204,3.29633
120162,205,3.296178
120723,206,3.298924
121283,207,3.298924
121844,208,3.2990769999999996
122404,209,3.299229
122965,210,3.299382
123526,211,3.299229
124087,212,3.29984
124648,213,3.298924
125209,214,3.298161
125769,215,3.298924
126330,216,3.2990769999999996
126891,217,3.298924
127452,218,3.298924
128013,219,3.29984
128573,220,3.2996870000000005
129133,221,3.29984
129693,222,3.3001449999999997
130253,223,3.2990769999999996
130813,224,3.299229
131373,225,3.2990769999999996
132566,226,3.28122377
133127,227,3.28183413
133687,228,3.28305486
134248,229,3.28503853
134809,230,3.28625925
135368,231,3.28763256
135927,232,3.28824292
136486,233,3.28870069
137045,234,3.29007401
137605,235,3.29053178
138165,236,3.29083696
138725,237,3.29144732
139285,238,3.29205768
139845,239,3.29251545
140404,240,3.29266804
140963,241,3.29358358
141521,242,3.29388876
142079,243,3.29388876
142637,244,3.29465171
143195,245,3.29449912
143753,246,3.29404135
144311,247,3.29419394
144869,248,3.29465171
145428,249,3.29526207
145987,250,3.29526207
146546,251,3.29510948
147105,252,3.29556725
147664,253,3.29541466
148223,254,3.29602502
148781,255,3.29602502
149339,256,3.29587243
149897,257,3.29678798
150454,258,3.2964828
151011,259,3.29617762
151568,260,3.29724575
152125,261,3.29694057
152682,262,3.29694057
153239,263,3.29785611
153797,264,3.29709316
154354,265,3.29709316
154912,266,3.29739834
155470,267,3.29785611
156027,268,3.29831388
156584,269,3.2980087
157141,270,3.29861906
157697,271,3.29877165
158253,272,3.29861906
158810,273,3.29861906
159367,274,3.29816129
159924,275,3.29770352
161179,276,3.27527276
161736,277,3.27740902
162293,278,3.27862974
162851,279,3.28152895
163408,280,3.2824445
163964,281,3.28336004
164520,282,3.28458076
165076,283,3.28564889
165633,284,3.28656443
166190,285,3.28747997
166747,286,3.28778515
167304,287,3.28809033
167861,288,3.28946365
168417,289,3.28976883
168973,290,3.29007401
169529,291,3.2902266
170084,292,3.29129473
170639,293,3.29129473
171194,294,3.29114214
171749,295,3.2917525
172304,296,3.29144732
172859,297,3.2917525
173414,298,3.29221027
173969,299,3.29282063
174525,300,3.29297322
175081,301,3.29297322
175637,302,3.2932784
176193,303,3.29297322
176749,304,3.29297322
177305,305,3.29282063
177860,306,3.2932784
178415,307,3.29358358
178970,308,3.29373617
179525,309,3.29434653
180079,310,3.29495689
180633,311,3.29526207
181187,312,3.29510948
181741,313,3.29495689
182295,314,3.29541466
182849,315,3.29541466
183404,316,3.29541466
183959,317,3.29587243
184514,318,3.29587243
185068,319,3.29602502
185622,320,3.29617762
186176,321,3.29617762
186730,322,3.2964828
187284,323,3.29602502
187838,324,3.29587243
188392,325,3.29617762
189616,326,3.27328908
190170,327,3.27542535
190724,328,3.27817197
191279,329,3.27969787
191833,330,3.28198672
192387,331,3.28320745
192940,332,3.28442817
193493,333,3.28595407
194046,334,3.28656443
194600,335,3.28793774
195154,336,3.28824292
195708,337,3.28870069
196261,338,3.28946365
196814,339,3.28992142
197367,340,3.29098955
197919,341,3.29098955
198471,342,3.29190509
199023,343,3.29205768
199575,344,3.29251545
200127,345,3.29282063
200679,346,3.29282063
201232,347,3.29236286
201784,348,3.29343099
202336,349,3.29388876
202888,350,3.29388876
203440,351,3.29388876
203992,352,3.29465171
204544,353,3.2948043
205095,354,3.29449912
205647,355,3.29449912
206199,356,3.29404135
206751,357,3.29404135
207303,358,3.29465171
207855,359,3.2948043
208406,360,3.29541466
208957,361,3.29556725
209508,362,3.29556725
210059,363,3.29571984
210609,364,3.29587243
211160,365,3.29526207
211711,366,3.29495689
212262,367,3.2948043
212812,368,3.29556725
213363,369,3.29587243
213914,370,3.29602502
214465,371,3.29663539
215016,372,3.29663539
215567,373,3.29694057
216118,374,3.29663539
216669,375,3.2964828
217914,376,3.2745098
218466,377,3.27695125
219017,378,3.27939269
219568,379,3.28152895
220118,380,3.28320745
220668,381,3.28473335
221218,382,3.2854963
221768,383,3.28641184
222319,384,3.28534371
222869,385,3.28519112
223420,386,3.28595407
223970,387,3.28641184
224520,388,3.28717479
225070,389,3.28778515
225619,390,3.28870069
226168,391,3.2885481
226717,392,3.28900587
227267,393,3.28976883
227817,394,3.28992142
228367,395,3.29053178
228917,396,3.29037919
229467,397,3.29083696
230017,398,3.29114214
230567,399,3.29114214
231117,400,3.29144732
231667,401,3.29190509
232217,402,3.29190509
232765,403,3.29190509
233313,404,3.29205768
233861,405,3.29251545
234409,406,3.29266804
234957,407,3.29282063
235506,408,3.2932784
236055,409,3.29312581
236604,410,3.29312581
237153,411,3.2932784
237702,412,3.29343099
238251,413,3.29373617
238800,414,3.29404135
239349,415,3.29373617
239898,416,3.29419394
240447,417,3.29404135
240995,418,3.29449912
241543,419,3.29404135
242091,420,3.29434653
242638,421,3.29449912
243185,422,3.2948043
243732,423,3.2948043
244279,424,3.2948043
244826,425,3.29465171
246002,426,3.29221027
246549,427,3.29312581
247096,428,3.29388876
247643,429,3.29419394
248191,430,3.29449912
248739,431,3.2948043
249287,432,3.2948043
249835,433,3.29510948
250382,434,3.29510948
250929,435,3.29556725
251476,436,3.29541466
252023,437,3.29602502
252569,438,3.29587243
253116,439,3.29556725
253663,440,3.29587243
254210,441,3.29602502
254756,442,3.29495689
255303,443,3.29602502
255849,444,3.29602502
256395,445,3.29663539
256941,446,3.2964828
257487,447,3.29709316
258034,448,3.29724575
258580,449,3.29678798
259126,450,3.29694057
