,Cycle,CE
0,1,99.98783440924497
1,2,99.96890855262434
2,3,99.94884173282402
3,4,99.94692955875091
4,5,99.94298115628936
5,6,99.93721997746079
6,7,99.92849204508354
7,8,99.92751365232822
8,9,99.93279551427918
9,10,99.9298912655286
10,11,99.930284952702
11,12,99.92880802887231
12,13,99.92200065036076
13,14,99.92392985508774
14,15,99.91795193982702
15,16,99.92344936922609
16,17,99.92581480167676
17,18,99.91440076693398
18,19,99.92225871377701
19,20,99.92418274100528
20,21,99.93582180751922
21,22,99.92621814177316
22,23,99.92928679584637
23,24,99.9313830379968
24,25,99.92771120048258
25,26,100.00592847622791
26,27,99.92190076952166
27,28,99.90949838836882
28,29,99.90333995847077
29,30,99.89943299311456
30,31,99.90123356477658
31,32,99.9095110577158
32,33,99.91186480885371
33,34,99.90011131081526
34,35,99.91058472536658
35,36,99.91217431996888
36,37,99.9039304476215
37,38,99.90616998285459
38,39,99.90572733885199
39,40,99.90736950830569
40,41,99.90790409277288
41,42,99.91119307921512
42,43,99.90481670345953
43,44,99.90947619861592
44,45,99.90909415679884
45,46,99.91436073698137
46,47,99.91424542848425
47,48,99.91934739008815
48,49,99.91681127100063
49,50,99.91014923255676
50,51,99.91388672750318
51,52,99.92020597965721
52,53,99.90925984077028
53,54,99.91403321189081
54,55,99.91111018211961
55,56,99.90890858624584
56,57,99.917969607492
57,58,99.91097808564372
58,59,99.91185044729569
59,60,99.91035570460195
60,61,99.91320347428275
61,62,99.9151190947358
62,63,99.91159332931487
63,64,99.91114776281188
64,65,99.90711866347777
65,66,99.91503533219644
66,67,99.91475508055315
67,68,99.90940677130689
68,69,99.90626292533473
69,70,99.91198472786319
70,71,99.91109069245148
71,72,99.90932433407647
72,73,99.91675655783132
73,74,99.91245444352926
74,75,99.91971133552508
75,76,99.89428355231479
76,77,99.88081665638148
77,78,99.88412342177368
78,79,99.88176705906854
79,80,99.88492050806934
80,81,99.88074799620246
81,82,99.88964700276627
82,83,99.890397629897
83,84,99.89081343165826
84,85,99.89779700675466
85,86,99.89292298181898
86,87,99.89467734171792
87,88,99.89156426280537
88,89,99.8879063670288
89,90,99.89131005078275
90,91,99.90438027814236
91,92,99.89293628051358
92,93,99.90153200071835
93,94,99.90295946015397
94,95,99.9083517633994
95,96,99.90358605690744
96,97,99.90672714566267
97,98,99.89980115062784
98,99,99.90603291889738
99,100,99.89705531741645
100,101,99.90163785692235
101,102,99.89952301094569
102,103,99.90941046522181
103,104,99.91315581474124
104,105,99.90568298745816
105,106,99.91203605801968
106,107,99.90117378962806
107,108,99.90580816428916
108,109,99.90474676762031
109,110,99.90472845949243
110,111,99.90947940130097
111,112,99.906747430152
112,113,99.9085664381197
113,114,99.9030732808115
114,115,99.90161271995099
115,116,99.90011391005262
116,117,99.90940949293156
117,118,99.91194141997232
118,119,99.91315463300067
119,120,99.90821011951542
120,121,99.91379410771077
121,122,99.8968036311806
122,123,99.90770187093803
123,124,99.90985224983584
124,125,99.92227904487608
125,126,100.04681686940093
126,127,99.90389521413712
127,128,99.88880922005943
128,129,99.88776792629575
129,130,99.88885035701264
130,131,99.88625895933063
131,132,99.88623416744929
132,133,99.8820342829175
133,134,99.88110405759527
134,135,99.88246012298278
135,136,99.90869654293934
136,137,99.88763043889834
137,138,99.8951748691496
138,139,99.89704746847077
139,140,99.89897143672312
140,141,99.88696679175749
141,142,99.90282103347572
142,143,99.91942229409467
143,144,99.90593076682873
144,145,99.90607710155274
145,146,99.9127529133498
146,147,99.89349540925603
147,148,99.9043993061834
148,149,99.90924065237327
149,150,99.8977282496681
150,151,99.90379155096619
151,152,99.90337743343656
152,153,99.91755124977448
153,154,99.89692950480912
154,155,99.90606692549952
155,156,99.9087876809715
156,157,99.90032084054745
157,158,99.90869183297931
158,159,99.90721606241523
159,160,99.89976092533198
160,161,99.9140593527595
161,162,99.90538340981182
162,163,99.91125103032182
163,164,99.90284024383965
