,Cycle,Cell08
5365,1,0.01707812
10676,2,0.01719668
15985,3,0.01718792
21293,4,0.01718192
26601,5,0.01717957
31907,6,0.0171731
37213,7,0.01716873
42519,8,0.01717206
47826,9,0.01717389
53132,10,0.01717184
58438,11,0.01716864
63743,12,0.01716783
69048,13,0.01716474
74353,14,0.0171657
79659,15,0.01716847
84965,16,0.01716972
90270,17,0.0171656
95576,18,0.0171686
100882,19,0.01716865
106187,20,0.01716539
111492,21,0.01716298
116797,22,0.01716512
122102,23,0.017164
127407,24,0.01716262
132712,25,0.01716303
135331,26,0.01716232
135886,27,0.01714829
136442,28,0.01713989
136998,29,0.01713248
137553,30,0.01712846
138108,31,0.01712407
138663,32,0.01712058
139218,33,0.01711977
139773,34,0.01711815
140328,35,0.01712047
140883,36,0.01711732
141438,37,0.01711763
141993,38,0.01711613
142548,39,0.01711616
143103,40,0.01711573
143658,41,0.01711487
144213,42,0.01711441
144768,43,0.01711391
145323,44,0.01711532
145878,45,0.01711213
146433,46,0.01711321
146988,47,0.01711334
147543,48,0.01710966
148098,49,0.01710824
148653,50,0.01711087
149208,51,0.01710778
149763,52,0.01710819
150318,53,0.01711118
150873,54,0.01711108
151428,55,0.01710562
151983,56,0.01710435
152538,57,0.01710689
153093,58,0.01710514
153648,59,0.01710373
154203,60,0.01710526
154758,61,0.01710287
155313,62,0.01710063
155868,63,0.01710059
156423,64,0.01710104
156978,65,0.01710557
157533,66,0.01709838
158088,67,0.01709624
158643,68,0.01710213
159198,69,0.01710074
159753,70,0.01709567
160308,71,0.017097
160863,72,0.01709845
161418,73,0.01709497
161973,74,0.01709408
162528,75,0.01709375
163438,76,0.01712423
163993,77,0.01710898
164547,78,0.01709669
165101,79,0.017088
165655,80,0.01708404
166209,81,0.01707898
166763,82,0.01707857
167317,83,0.01706879
167871,84,0.01706899
168425,85,0.01706947
168979,86,0.01706524
169533,87,0.01706147
170087,88,0.01706074
170641,89,0.01705823
171195,90,0.01705534
171749,91,0.01705538
172303,92,0.01705539
172857,93,0.0170534
173411,94,0.01705427
173965,95,0.01705137
174519,96,0.01704863
175073,97,0.01704772
175627,98,0.01704957
176181,99,0.01704612
176735,100,0.0170437
177289,101,0.01704403
177843,102,0.01704167
178397,103,0.01703902
178951,104,0.01703841
179505,105,0.01703679
180059,106,0.01703346
180613,107,0.0170374
181167,108,0.01703621
181721,109,0.01703283
182275,110,0.01702934
182829,111,0.01703249
183383,112,0.0170297
183936,113,0.01702863
184489,114,0.01702149
185041,115,0.01702517
185594,116,0.01702266
186147,117,0.01702144
186699,118,0.0170192
187251,119,0.01702174
187803,120,0.01701762
188355,121,0.01701493
188907,122,0.01701851
189459,123,0.01701617
190011,124,0.01701063
190563,125,0.01701244
191471,126,0.01703893
192023,127,0.01702029
192576,128,0.01701338
193129,129,0.01700163
193682,130,0.01699706
194235,131,0.01699455
194788,132,0.01698989
195341,133,0.01698733
195894,134,0.01698274
196447,135,0.01697838
196999,136,0.01697692
197551,137,0.01697465
198103,138,0.01697628
198655,139,0.01696998
199207,140,0.016967
199759,141,0.01696201
200311,142,0.01696528
200863,143,0.01695995
201415,144,0.01695387
201967,145,0.01695675
202519,146,0.01695693
203071,147,0.01695347
203622,148,0.01694784
204174,149,0.01694644
204725,150,0.01694918
205276,151,0.01694346
205827,152,0.01694123
206378,153,0.01693921
206929,154,0.01694244
207480,155,0.01693437
208032,156,0.01693827
208583,157,0.01694549
209134,158,0.0169365
209686,159,0.01693009
210237,160,0.01693183
210789,161,0.01693267
211340,162,0.01692284
211891,163,0.0169201
212442,164,0.01692176
212993,165,0.01692402
213544,166,0.01692066
214095,167,0.01692302
214646,168,0.01692023
215197,169,0.01691459
215748,170,0.01691333
216299,171,0.01691302
216850,172,0.01691128
217401,173,0.01690263
217952,174,0.01690569
218503,175,0.01690842
219054,176,0.01690223
219605,177,0.01689921
220156,178,0.0168996
220707,179,0.01690299
221258,180,0.01689799
221809,181,0.01689814
222360,182,0.01689649
222911,183,0.01689532
223462,184,0.01689209
224013,185,0.01689608
224564,186,0.0168911
225115,187,0.01688706
225666,188,0.01688861
226217,189,0.01688805
226768,190,0.01688101
227319,191,0.01687844
227870,192,0.0168821
228421,193,0.01688263
228972,194,0.01687763
229523,195,0.01687616
230074,196,0.01687801
230624,197,0.01687498
231175,198,0.01687646
231725,199,0.01687183
232275,200,0.01686911
232824,201,0.01686309
233373,202,0.01686736
233923,203,0.01686881
234473,204,0.01686304
