,Cycle,Cell06
2065,1,4.0374609
7481,2,4.04295415
12921,3,4.04295415
18360,4,4.04310674
23799,5,4.04295415
29238,6,4.04310674
34675,7,4.04280156
40113,8,4.04295415
45551,9,4.04280156
50990,10,4.04295415
56428,11,4.04310674
61866,12,4.04295415
67305,13,4.04310674
72744,14,4.04295415
78183,15,4.04280156
83623,16,4.04295415
89063,17,4.04249638
94503,18,4.04264897
99943,19,4.04295415
105383,20,4.04249638
110823,21,4.04249638
116263,22,4.04249638
121703,23,4.04264897
127143,24,4.04280156
132584,25,4.04249638
138376,26,4.04173342
138999,27,4.04173342
139622,28,4.04142824
140245,29,4.04142824
140868,30,4.04127565
141491,31,4.04127565
142114,32,4.04142824
142737,33,4.04158083
143360,34,4.04112306
143983,35,4.04127565
144606,36,4.04142824
145228,37,4.04112306
145850,38,4.04127565
146473,39,4.04127565
147095,40,4.04127565
147717,41,4.04097047
148339,42,4.04112306
148962,43,4.04112306
149585,44,4.04112306
150208,45,4.04097047
150831,46,4.04097047
151454,47,4.04081788
152077,48,4.0405127
152700,49,4.04066529
153323,50,4.04081788
153946,51,4.04066529
154569,52,4.0405127
155193,53,4.0405127
155816,54,4.04081788
156439,55,4.04066529
157062,56,4.04036011
157685,57,4.04036011
158308,58,4.04036011
158932,59,4.04036011
159555,60,4.04020752
160178,61,4.04036011
160802,62,4.04036011
161426,63,4.04020752
162050,64,4.04005493
162673,65,4.0405127
163297,66,4.04005493
163921,67,4.04005493
164545,68,4.04005493
165169,69,4.04005493
165793,70,4.03974975
166417,71,4.04020752
167041,72,4.04005493
167664,73,4.03974975
168288,74,4.03974975
168912,75,4.03974975
169888,76,4.03944457
170511,77,4.03929198
171134,78,4.03913939
171757,79,4.03929198
172380,80,4.03913939
173003,81,4.0389868
173626,82,4.0389868
174249,83,4.03913939
174872,84,4.0389868
175495,85,4.03883421
176118,86,4.03913939
176741,87,4.0389868
177364,88,4.0389868
177987,89,4.0389868
178610,90,4.0389868
179233,91,4.03883421
179856,92,4.03913939
180479,93,4.0389868
181102,94,4.03883421
181725,95,4.0389868
182348,96,4.03913939
182971,97,4.03929198
183594,98,4.03883421
184217,99,4.03913939
184840,100,4.03883421
185463,101,4.03883421
186086,102,4.0389868
186709,103,4.03883421
187332,104,4.03913939
187955,105,4.03913939
188578,106,4.03883421
189201,107,4.0389868
189824,108,4.03913939
190447,109,4.03913939
191070,110,4.0389868
191693,111,4.03883421
192316,112,4.03868162
192939,113,4.0389868
193562,114,4.03883421
194185,115,4.0389868
194808,116,4.03883421
195431,117,4.03883421
196054,118,4.0389868
196677,119,4.03883421
