,Cycle,Cell01
6507,1,3.2870222
12084,2,3.28305486
17661,3,3.28122377
23239,4,3.27893492
28816,5,3.27817197
34393,6,3.27634089
39971,7,3.27496757
45548,8,3.27496757
51126,9,3.27389944
56704,10,3.27344167
62283,11,3.27222095
67862,12,3.27161059
73441,13,3.27115282
79020,14,3.27023728
84598,15,3.27084764
90178,16,3.26977951
95757,17,3.26916915
101336,18,3.2684062
106915,19,3.2684062
112495,20,3.26703288
118075,21,3.26565957
123655,22,3.2652018
129233,23,3.26611734
134813,24,3.26550698
140393,25,3.26489662
142236,26,3.24841688
142874,27,3.2496376
143512,28,3.25024796
144150,29,3.25070573
144788,30,3.25131609
145426,31,3.25101091
146064,32,3.25101091
146702,33,3.25101091
147340,34,3.25024796
147978,35,3.25009537
148616,36,3.24979019
149254,37,3.24933242
149892,38,3.24887465
150530,39,3.2481117
151168,40,3.24841688
151806,41,3.24795911
152444,42,3.24719615
153082,43,3.24704356
153720,44,3.2464332
154358,45,3.24536507
154996,46,3.24505989
155634,47,3.24521248
156272,48,3.24414435
156910,49,3.24414435
157548,50,3.24261845
158186,51,3.24231327
158824,52,3.24231327
159462,53,3.24200809
160100,54,3.24063478
160738,55,3.24093996
161376,56,3.23956664
162014,57,3.23880369
162652,58,3.23880369
163290,59,3.23819333
163928,60,3.23804074
164566,61,3.23727779
165204,62,3.23620966
165842,63,3.23605707
166480,64,3.23529412
167118,65,3.23483635
167756,66,3.23453117
168394,67,3.23422599
169032,68,3.23392081
169670,69,3.23346304
170308,70,3.23178454
170946,71,3.23193713
171584,72,3.23071641
172222,73,3.23071641
172860,74,3.23025864
173498,75,3.2293431
174489,76,3.21622034
175127,77,3.21789883
175765,78,3.21805142
176403,79,3.21866178
177041,80,3.21911955
177679,81,3.21942473
178317,82,3.21850919
178955,83,3.21927214
179593,84,3.2183566
180231,85,3.2183566
180869,86,3.21774624
181507,87,3.21744106
182145,88,3.21713588
182783,89,3.21713588
183421,90,3.21652552
184059,91,3.21591516
184697,92,3.21545739
185335,93,3.21545739
185973,94,3.21499962
186611,95,3.21499962
187249,96,3.21438926
187887,97,3.21454185
188525,98,3.21332113
189163,99,3.21316854
189801,100,3.21316854
190439,101,3.21240558
191077,102,3.21240558
191715,103,3.21225299
192353,104,3.21149004
192991,105,3.21072709
193629,106,3.21103227
194267,107,3.21026932
194905,108,3.21042191
195543,109,3.20920119
196181,110,3.20935378
196819,111,3.20843824
197457,112,3.20889601
198095,113,3.20798047
198733,114,3.2075227
199371,115,3.20721752
200009,116,3.20675975
200647,117,3.20691234
201285,118,3.20645457
201923,119,3.2059968
202561,120,3.20569162
203199,121,3.20569162
203837,122,3.20508125
204475,123,3.20447089
205113,124,3.20416571
205751,125,3.20340276
206742,126,3.1950103
207380,127,3.19546807
208018,128,3.1965362
208656,129,3.19699397
209294,130,3.1980621
209932,131,3.19760433
210570,132,3.19775692
211208,133,3.19760433
211846,134,3.19714656
212484,135,3.19699397
213122,136,3.19714656
213760,137,3.19775692
214398,138,3.19760433
215036,139,3.19760433
215674,140,3.19638361
216312,141,3.19699397
216950,142,3.19577325
217588,143,3.19577325
218226,144,3.19638361
218864,145,3.19546807
219502,146,3.1950103
220140,147,3.19546807
220778,148,3.19317922
221415,149,3.19455253
222053,150,3.19470512
222691,151,3.19394217
223328,152,3.19485771
223966,153,3.19378958
224604,154,3.19378958
225241,155,3.19272145
225879,156,3.19256886
226516,157,3.1934844
227153,158,3.19272145
227790,159,3.19317922
228428,160,3.19287404
229066,161,3.19211109
229703,162,3.19302663
230341,163,3.19226368
230979,164,3.19211109
231617,165,3.19165332
232255,166,3.19165332
232892,167,3.19211109
233530,168,3.19104295
234167,169,3.19180591
234804,170,3.19165332
235441,171,3.19134813
236078,172,3.1919585
236716,173,3.19119554
237353,174,3.19089036
237990,175,3.19119554
238627,176,3.19073777
239264,177,3.19012741
239901,178,3.19089036
240538,179,3.19104295
241175,180,3.19104295
241812,181,3.19073777
242449,182,3.19104295
243086,183,3.18997482
243723,184,3.18966964
244360,185,3.19028
244997,186,3.18997482
245634,187,3.18966964
246271,188,3.18921187
246908,189,3.18982223
247545,190,3.18966964
248182,191,3.18905928
248819,192,3.18951705
249456,193,3.18921187
250093,194,3.18921187
250730,195,3.18829633
251367,196,3.18829633
252004,197,3.18814374
252641,198,3.18860151
253278,199,3.18951705
253915,200,3.1887541
254552,201,3.18905928
255189,202,3.18799115
255826,203,3.18799115
256463,204,3.18738079
257100,205,3.18753338
257737,206,3.18768597
258374,207,3.18783856
259011,208,3.18738079
259648,209,3.1872282
260285,210,3.18783856
260922,211,3.18814374
261559,212,3.18799115
262196,213,3.18890669
262833,214,3.18814374
263470,215,3.1887541
264107,216,3.18814374
264744,217,3.18829633
265381,218,3.18799115
266018,219,3.18783856
266655,220,3.18844892
267292,221,3.18814374
267928,222,3.18753338
268565,223,3.18738079
269201,224,3.1872282
269838,225,3.18844892
270826,226,3.18081941
271463,227,3.17776761
272100,228,3.17914092
272737,229,3.18036164
273374,230,3.18081941
274011,231,3.18112459
274648,232,3.18158236
275285,233,3.18173495
275922,234,3.18188754
276559,235,3.18265049
277196,236,3.1824979
277833,237,3.18265049
278470,238,3.1824979
279107,239,3.18265049
279744,240,3.1824979
280381,241,3.18265049
281018,242,3.18280308
281655,243,3.18295567
282292,244,3.18295567
282929,245,3.18310826
283566,246,3.18310826
284203,247,3.18356603
284840,248,3.18341344
285476,249,3.18341344
286113,250,3.18356603
286750,251,3.18310826
287386,252,3.18310826
288023,253,3.1824979
288660,254,3.18219272
289296,255,3.18234531
289932,256,3.18265049
290568,257,3.18234531
291204,258,3.1824979
291840,259,3.1824979
292476,260,3.18280308
293112,261,3.18280308
293748,262,3.18295567
294384,263,3.18295567
295020,264,3.18295567
295656,265,3.18326085
296292,266,3.18295567
296927,267,3.18356603
297562,268,3.18356603
298198,269,3.18387121
298834,270,3.18387121
299470,271,3.18432898
300106,272,3.18432898
300742,273,3.18448157
301378,274,3.18448157
302014,275,3.18356603
302650,276,3.18417639
303286,277,3.1840238
303922,278,3.18448157
304558,279,3.18493935
305194,280,3.18432898
305830,281,3.18463416
306466,282,3.18432898
307102,283,3.18417639
307738,284,3.18493935
308374,285,3.18509194
309010,286,3.18493935
309646,287,3.18509194
310282,288,3.18524453
310918,289,3.18539712
311554,290,3.18478676
312190,291,3.18524453
312826,292,3.18509194
313462,293,3.18524453
314098,294,3.18509194
314734,295,3.1857023
315370,296,3.18509194
316006,297,3.18554971
316642,298,3.18554971
317278,299,3.1857023
317914,300,3.18600748
318550,301,3.1857023
319186,302,3.18585489
319822,303,3.18585489
320458,304,3.18585489
321092,305,3.18646525
321727,306,3.18631266
322362,307,3.18600748
322997,308,3.18631266
323632,309,3.18646525
324267,310,3.18631266
324902,311,3.18631266
325537,312,3.18661784
326172,313,3.18707561
326807,314,3.18646525
327442,315,3.18631266
328077,316,3.18661784
328712,317,3.18692302
329347,318,3.18738079
329982,319,3.18753338
330617,320,3.1872282
331252,321,3.18677043
331887,322,3.18677043
332522,323,3.18738079
333157,324,3.18768597
333792,325,3.18783856
334777,326,3.18417639
335412,327,3.18539712
336046,328,3.18600748
336680,329,3.1872282
337315,330,3.18646525
337948,331,3.18707561
338582,332,3.18738079
339217,333,3.18692302
339851,334,3.18753338
340486,335,3.18768597
341120,336,3.18768597
341754,337,3.18768597
342388,338,3.18768597
343022,339,3.1887541
343656,340,3.18814374
344290,341,3.18814374
344924,342,3.18844892
345558,343,3.18844892
346192,344,3.18860151
346826,345,3.18905928
347460,346,3.18905928
348094,347,3.18921187
