,Cycle,Cell11
5602,1,0.03041412
11164,2,0.03078954
16726,3,0.03078606
22287,4,0.03078038
27848,5,0.03078283
33409,6,0.03077702
38969,7,0.03077555
44529,8,0.030774
50089,9,0.03077275
55649,10,0.03076888
61209,11,0.03076802
66767,12,0.03076496
72326,13,0.0307623
77885,14,0.03076419
83444,15,0.03076049
89003,16,0.03076092
94562,17,0.0307576
100120,18,0.0307551
105679,19,0.03075683
111237,20,0.03075364
116795,21,0.03075442
122353,22,0.03075399
127911,23,0.0307539
133469,24,0.03075244
139027,25,0.03075067
148544,26,0.03079755
154107,27,0.03079514
159669,28,0.03078701
165231,29,0.03078645
170793,30,0.03078589
176354,31,0.0307806
181915,32,0.03078387
187476,33,0.03077759
193037,34,0.03077908
198598,35,0.03077509
204158,36,0.03077383
209718,37,0.030774
215278,38,0.03077147
220838,39,0.03077203
226398,40,0.03077358
231958,41,0.0307737
237518,42,0.03076768
243078,43,0.03076746
248638,44,0.03076931
254197,45,0.03076406
259757,46,0.0307688
265317,47,0.03076604
270877,48,0.0307675
276437,49,0.03076608
281996,50,0.03076445
287556,51,0.03076802
293115,52,0.03076599
298674,53,0.03076561
304233,54,0.03076535
309792,55,0.03076402
315351,56,0.03076496
320910,57,0.03076062
326469,58,0.03076195
332029,59,0.03076574
337589,60,0.03076686
343148,61,0.03076471
348708,62,0.03076621
354267,63,0.03076484
359827,64,0.03076755
365387,65,0.03076557
370947,66,0.03076634
376507,67,0.03076815
382067,68,0.03076712
387627,69,0.03076707
393187,70,0.03076849
398747,71,0.03076764
404307,72,0.03076772
409867,73,0.03076892
415427,74,0.03076914
420987,75,0.03077276
429815,76,0.03084095
435380,77,0.03081714
440945,78,0.03081324
446509,79,0.03080871
452073,80,0.03080539
457637,81,0.0308038
463201,82,0.03080289
468765,83,0.03080222
474329,84,0.03080212
479892,85,0.03079725
485455,86,0.03079803
491018,87,0.03079424
496581,88,0.03079583
502144,89,0.03079545
507707,90,0.03079243
513270,91,0.03079239
518832,92,0.03079032
524394,93,0.03079023
529956,94,0.03078671
535518,95,0.03078817
541080,96,0.03079036
546642,97,0.03078709
552204,98,0.03078675
557766,99,0.0307877
563328,100,0.03078528
568890,101,0.03078469
574452,102,0.03078615
580013,103,0.03078257
585575,104,0.03078478
591136,105,0.03078154
596697,106,0.0307818
602258,107,0.03077995
607819,108,0.03077883
613380,109,0.03078206
618941,110,0.03078042
624502,111,0.03078042
630063,112,0.03077857
635624,113,0.03078102
641185,114,0.03077796
646746,115,0.0307799
652307,116,0.03077745
657868,117,0.03078059
663429,118,0.03077642
668990,119,0.03077879
674551,120,0.03077663
680112,121,0.03077629
685673,122,0.03077654
691234,123,0.03077607
696795,124,0.03077754
702356,125,0.03077719
711887,126,0.03080853
717451,127,0.03080763
723014,128,0.03079898
728577,129,0.03079803
734140,130,0.0307976
739703,131,0.03079373
745266,132,0.03079631
750828,133,0.03078477
756390,134,0.03078714
761951,135,0.03078427
767512,136,0.0307815
773073,137,0.0307818
778634,138,0.03077749
784195,139,0.03078085
789755,140,0.03077388
795315,141,0.03077422
800875,142,0.03077163
806435,143,0.03077284
811995,144,0.03077058
817555,145,0.03076906
823115,146,0.03077052
828675,147,0.03076854
834235,148,0.03076664
839795,149,0.03076708
845354,150,0.03076252
850913,151,0.03076328
856472,152,0.03076242
862030,153,0.03075989
867589,154,0.03075973
873148,155,0.03076075
878706,156,0.03075757
884265,157,0.03075941
889823,158,0.03075549
895381,159,0.03075459
900939,160,0.03075472
906497,161,0.03075257
912055,162,0.03075687
917613,163,0.03075101
923171,164,0.03075235
928729,165,0.03075076
934286,166,0.03074908
939844,167,0.03075239
945401,168,0.03074641
950958,169,0.03074865
956515,170,0.03074417
962072,171,0.03074688
967629,172,0.03074353
973186,173,0.03074154
978743,174,0.03074464
984299,175,0.030739
989855,176,0.03073969
995411,177,0.03074034
1000967,178,0.03073836
1006523,179,0.0307353
1012079,180,0.03073612
1017635,181,0.03072018
1023192,182,0.03074615
1028748,183,0.03073392
1034304,184,0.03073353
1039859,185,0.03072789
1045414,186,0.03072824
1050969,187,0.03072811
1056524,188,0.03072605
1062079,189,0.03072738
1067634,190,0.03072579
1073189,191,0.03072359
1078744,192,0.03072432
1084298,193,0.03072182
1089852,194,0.03072122
1095400,195,0.03066206
1100958,196,0.03075412
1106512,197,0.03071799
1112066,198,0.03071683
1117618,199,0.03071756
1123171,200,0.03071209
1128725,201,0.0307142
1134279,202,0.03071378
1139832,203,0.03071209
1145385,204,0.03071222
1150938,205,0.03071102
1156491,206,0.03070925
1162044,207,0.03070792
1167597,208,0.03070839
1173150,209,0.03070723
1178703,210,0.03070486
1184255,211,0.03070447
1189807,212,0.03070348
1195359,213,0.03070258
1200911,214,0.03070017
1206463,215,0.0307
1212015,216,0.03070013
1217567,217,0.03069754
1223119,218,0.03069616
1228671,219,0.03069612
1234284,220,0.03120207
1239800,221,0.03038696
1245352,222,0.03069862
1250904,223,0.03069625
1256456,224,0.03069668
1262007,225,0.03069431
1271506,226,0.03072002
1277059,227,0.0307127
1282611,228,0.03070336
1288163,229,0.03070168
1293715,230,0.03069896
1299266,231,0.03069356
1304817,232,0.0306944
1310367,233,0.03068717
1315917,234,0.03068885
1321466,235,0.03067963
1327015,236,0.03067843
1332564,237,0.03067704
1338113,238,0.0306736
1343662,239,0.03067408
1349210,240,0.03066792
1354758,241,0.03066844
1360306,242,0.03066306
1365853,243,0.03066219
1371400,244,0.03065793
1376947,245,0.03065703
1382494,246,0.03065832
1388040,247,0.03065255
1393586,248,0.03065281
1399132,249,0.03065152
1404678,250,0.03064807
1410224,251,0.03064747
1415769,252,0.03064536
1421314,253,0.03064682
1426859,254,0.03063838
1432404,255,0.03064136
1437948,256,0.03063636
1443492,257,0.03063662
1449036,258,0.03063464
1454580,259,0.03063232
1460124,260,0.03063486
1465667,261,0.03062646
1471211,262,0.03063008
1476754,263,0.03062582
1482297,264,0.03062405
1487840,265,0.03062142
1493383,266,0.03062172
1498925,267,0.03061901
1504467,268,0.03061957
1510009,269,0.03061639
1515551,270,0.03061454
1521093,271,0.03061307
1526693,272,0.03109371
1532201,273,0.030325
1537740,274,0.03058987
1543278,275,0.03058294
1548817,276,0.03059331
1554356,277,0.03059184
1559895,278,0.03058957
