,Cycle,Cell09
2042,1,3.93385214
7074,2,3.93873503
12132,3,3.93797208
17185,4,3.93797208
22236,5,3.93827726
27287,6,3.93827726
32338,7,3.93858244
37389,8,3.93873503
42439,9,3.93873503
47489,10,3.93873503
52538,11,3.93904021
57587,12,3.93873503
62635,13,3.93888762
67683,14,3.93888762
72731,15,3.93904021
77778,16,3.93873503
82825,17,3.93888762
87872,18,3.93904021
92918,19,3.93904021
97965,20,3.93904021
103012,21,3.93904021
108058,22,3.93888762
113104,23,3.93904021
118150,24,3.9391928
123195,25,3.93873503
132179,26,3.93842985
137240,27,3.93675135
142292,28,3.93553063
147335,29,3.93522545
152374,30,3.93537804
157412,31,3.93583581
162449,32,3.93553063
167485,33,3.93553063
172521,34,3.93553063
177557,35,3.93583581
182594,36,3.93568322
187630,37,3.93583581
192666,38,3.93614099
197702,39,3.9359884
202737,40,3.9359884
207772,41,3.93583581
212806,42,3.93583581
217840,43,3.93583581
222873,44,3.9359884
227907,45,3.93629358
232941,46,3.93614099
237975,47,3.93629358
243009,48,3.93644617
248043,49,3.93614099
253077,50,3.93614099
258111,51,3.9359884
263145,52,3.93614099
268179,53,3.93614099
273213,54,3.93629358
278247,55,3.93629358
283281,56,3.93644617
288315,57,3.9359884
293349,58,3.93614099
298383,59,3.93629358
303417,60,3.93614099
308451,61,3.93614099
313484,62,3.93629358
318518,63,3.93629358
323552,64,3.9359884
328586,65,3.9359884
333620,66,3.93583581
338653,67,3.9359884
343686,68,3.93614099
348719,69,3.9359884
353753,70,3.93614099
358786,71,3.9359884
363820,72,3.93583581
368854,73,3.93568322
373888,74,3.9359884
378922,75,3.93583581
387195,76,3.93415732
392258,77,3.93263142
397311,78,3.93171588
402357,79,3.9314107
407400,80,3.93156329
412442,81,3.93171588
417482,82,3.93186847
422521,83,3.93186847
427559,84,3.93202106
432596,85,3.93202106
437633,86,3.93202106
442669,87,3.93232624
447704,88,3.93217365
452738,89,3.93217365
457772,90,3.93217365
462805,91,3.93217365
467838,92,3.93247883
472871,93,3.93232624
477903,94,3.93232624
482935,95,3.93263142
487967,96,3.93263142
492999,97,3.93263142
498030,98,3.93278401
503061,99,3.93263142
508092,100,3.93278401
513123,101,3.93263142
518153,102,3.93263142
523183,103,3.93278401
528213,104,3.93278401
533243,105,3.93263142
538273,106,3.93308919
543303,107,3.9329366
548333,108,3.93278401
553363,109,3.93263142
558393,110,3.93308919
563423,111,3.93308919
568453,112,3.9329366
573484,113,3.9329366
578514,114,3.9329366
583544,115,3.93278401
588573,116,3.9329366
593603,117,3.93308919
598633,118,3.93308919
603663,119,3.93308919
608693,120,3.93324178
613723,121,3.93308919
618753,122,3.9329366
623783,123,3.9329366
