,Cycle,Cell06
5692,1,3.33249409
10434,2,3.32715343
15172,3,3.32394903
19906,4,3.32028687
24637,5,3.31738766
29364,6,3.31433585
34089,7,3.31174182
38812,8,3.30853742
43533,9,3.30609598
48252,10,3.30334936
52970,11,3.30075532
57687,12,3.29846647
62403,13,3.29602502
67119,14,3.29358358
71834,15,3.29144732
76548,16,3.28946365
81262,17,3.28763256
85975,18,3.28519112
90687,19,3.28320745
95399,20,3.28152895
100111,21,3.27939269
104824,22,3.27756161
109537,23,3.27588312
114250,24,3.27420462
118963,25,3.27222095
127605,26,3.25787747
132329,27,3.25787747
137047,28,3.25772488
141761,29,3.25726711
146471,30,3.25711452
151179,31,3.25604639
155885,32,3.25558862
160589,33,3.25482567
165291,34,3.25360494
169991,35,3.25253681
174689,36,3.25162127
179385,37,3.25040055
184079,38,3.24948501
188772,39,3.2481117
193462,40,3.24719615
198151,41,3.24612802
202837,42,3.2449073
207522,43,3.24368658
212205,44,3.24246586
216886,45,3.24139773
221567,46,3.240177
226248,47,3.23895628
230928,48,3.23819333
235607,49,3.23682002
240288,50,3.23575189
244973,51,3.23514153
249659,52,3.23453117
254347,53,3.23361563
259036,54,3.23285267
263726,55,3.23193713
268417,56,3.23117418
273108,57,3.23041123
277800,58,3.22949569
282492,59,3.22842756
287185,60,3.22751202
291878,61,3.22674907
296571,62,3.22568093
301264,63,3.22476539
305957,64,3.22415503
310650,65,3.22339208
315344,66,3.22247654
320037,67,3.221561
324731,68,3.22049287
329426,69,3.21988251
334122,70,3.21896696
338818,71,3.21789883
343515,72,3.21728847
348212,73,3.21652552
352909,74,3.21576257
357606,75,3.21499962
365547,76,3.18478676
370257,77,3.18554971
374961,78,3.1872282
379663,79,3.18814374
384366,80,3.18890669
389069,81,3.18966964
393772,82,3.18997482
398476,83,3.19043259
403180,84,3.19058518
407884,85,3.19089036
412588,86,3.19104295
417292,87,3.19104295
421996,88,3.19104295
426700,89,3.19073777
431404,90,3.19073777
436108,91,3.19058518
440812,92,3.19043259
445516,93,3.19012741
450220,94,3.19012741
454924,95,3.18982223
459628,96,3.18936446
464333,97,3.18905928
469038,98,3.18860151
473743,99,3.18829633
478449,100,3.18814374
483154,101,3.18799115
487859,102,3.18738079
492565,103,3.18677043
497271,104,3.18646525
501977,105,3.18661784
506682,106,3.18600748
511387,107,3.18554971
516092,108,3.18509194
520797,109,3.18478676
525502,110,3.18448157
530207,111,3.18417639
534912,112,3.18371862
539617,113,3.18356603
544322,114,3.18310826
549027,115,3.1824979
553733,116,3.18219272
558438,117,3.18188754
563143,118,3.18112459
567849,119,3.180972
572554,120,3.18051423
577260,121,3.18020905
581965,122,3.17975128
586670,123,3.17975128
591375,124,3.1794461
596080,125,3.17898833
604708,126,3.1498436
609409,127,3.15152209
614106,128,3.15335317
618804,129,3.15503166
623503,130,3.15655756
628203,131,3.15777829
632903,132,3.15869383
637603,133,3.15976196
642302,134,3.16037232
647001,135,3.1606775
651700,136,3.16159304
656399,137,3.16174563
661097,138,3.16296635
665794,139,3.16311894
670491,140,3.16327153
675187,141,3.16357671
679883,142,3.1638819
684578,143,3.1638819
689273,144,3.1638819
693968,145,3.16403449
698663,146,3.1638819
703358,147,3.16403449
708052,148,3.16418708
712746,149,3.16403449
717440,150,3.16418708
722134,151,3.16357671
726828,152,3.1638819
731522,153,3.16357671
736216,154,3.16357671
740910,155,3.16342412
745604,156,3.16311894
750298,157,3.16296635
754992,158,3.16311894
759685,159,3.16311894
764379,160,3.16250858
769072,161,3.16266117
773766,162,3.16205081
778460,163,3.16189822
783154,164,3.16159304
787848,165,3.16159304
792542,166,3.16128786
797236,167,3.16128786
801930,168,3.16083009
806625,169,3.1606775
811320,170,3.16037232
816015,171,3.16006714
820710,172,3.15991455
825405,173,3.15930419
830101,174,3.1591516
834797,175,3.15869383
839493,176,3.15869383
844188,177,3.15838865
848884,178,3.15793088
853579,179,3.15793088
858275,180,3.15747311
862971,181,3.15716793
867667,182,3.15716793
872362,183,3.15671015
877058,184,3.15655756
881755,185,3.15655756
886451,186,3.15655756
891146,187,3.15609979
895842,188,3.15564202
900537,189,3.15564202
905232,190,3.15564202
909927,191,3.15518425
914622,192,3.15518425
919319,193,3.15472648
924015,194,3.15457389
928711,195,3.15426871
933406,196,3.15411612
938101,197,3.15396353
942795,198,3.15396353
947491,199,3.15350576
952186,200,3.15365835
956880,201,3.15335317
961575,202,3.1528954
966271,203,3.15320058
970966,204,3.1528954
975660,205,3.15259022
980354,206,3.15243763
985049,207,3.15213245
989744,208,3.15213245
994438,209,3.15213245
999131,210,3.15152209
1003824,211,3.15182727
1008518,212,3.15152209
1013214,213,3.149691
1017891,214,3.15121691
1022585,215,3.15091173
1027280,216,3.15045396
1031975,217,3.15045396
1036669,218,3.15045396
1041363,219,3.15045396
1046057,220,3.15045396
1050751,221,3.15014878
1055444,222,3.14999619
1060138,223,3.14999619
1064831,224,3.14953841
1069525,225,3.14953841
1078083,226,3.12542916
1082770,227,3.12542916
1087460,228,3.12664988
1092151,229,3.12771801
1096842,230,3.12893874
1101532,231,3.13015946
1106222,232,3.131075
1110912,233,3.13229572
1115602,234,3.13336385
1120291,235,3.13366903
1124980,236,3.13488975
1129669,237,3.13534752
1134358,238,3.1356527
1139046,239,3.13656825
1143734,240,3.1373312
1148421,241,3.13794156
1153108,242,3.13824674
1157795,243,3.1388571
1162481,244,3.13931487
1167167,245,3.14007782
1171853,246,3.13992523
1176539,247,3.140383
1181225,248,3.14068818
1185910,249,3.14114595
1190595,250,3.14114595
1195280,251,3.14114595
1199965,252,3.14160372
1204649,253,3.14160372
1209333,254,3.1419089
1214017,255,3.14206149
1218700,256,3.14251926
1223383,257,3.14282444
1228066,258,3.14267185
1232749,259,3.14297704
1237432,260,3.14297704
1242115,261,3.14297704
1246797,262,3.14312963
1251480,263,3.14328222
1256162,264,3.14328222
1260844,265,3.14343481
1265526,266,3.14312963
1270208,267,3.1435874
1274890,268,3.1435874
1279572,269,3.14373999
1284254,270,3.14373999
1288936,271,3.14389258
1293617,272,3.14404517
1298298,273,3.14373999
1302979,274,3.14389258
1307659,275,3.14419776
1312340,276,3.14373999
1317021,277,3.14419776
1321701,278,3.14404517
1326381,279,3.14419776
1331061,280,3.14419776
1335741,281,3.14404517
1340421,282,3.14404517
1345100,283,3.14404517
1349779,284,3.14419776
1354458,285,3.14389258
1359137,286,3.14389258
1363816,287,3.14389258
1368495,288,3.14389258
1373174,289,3.14389258
1377853,290,3.14419776
1382532,291,3.14389258
1387210,292,3.14389258
1391889,293,3.14373999
1396568,294,3.14373999
1401246,295,3.14373999
1405924,296,3.14373999
1410602,297,3.1435874
