t_inicio_s,t_fin_s,duracion_s,corriente_total_A,potencia_total_W
0.0,120.0,120.0,1.0,13.0
120.0,135.0,14.5,1.0,13.0
135.0,180.0,44.5,12.0,156.0
180.0,321.0,141.0,17.0,221.0
321.0,322.0,1.0,40.0,520.0
322.0,350.0,28.0,26.7,347.1
350.0,363.0,13.0,17.3,224.9
363.0,364.0,1.0,39.8,517.4
364.0,380.0,16.0,26.9,349.7
380.0,388.0,8.0,16.9,219.7
388.0,389.0,1.0,40.4,525.2
389.0,407.0,18.0,26.5,344.5
407.0,423.0,16.0,17.4,226.2
423.0,424.0,1.0,39.7,516.1
424.0,442.0,18.0,27.0,351.0
442.0,458.0,16.0,16.8,218.4
458.0,459.0,1.0,40.2,522.6
459.0,480.0,21.0,26.8,348.4
480.0,495.0,15.0,17.1,222.3
495.0,496.0,1.0,39.9,518.7
496.0,522.0,26.0,26.6,345.8
522.0,537.0,15.0,16.9,219.7
537.0,538.0,1.0,40.1,521.3
538.0,556.0,18.0,26.7,347.1
556.0,581.0,25.0,6.7,87.1
581.0,606.0,24.5,17.0,221.0
606.0,607.0,1.0,40.0,520.0
607.0,626.0,19.0,26.7,347.1
626.0,649.0,23.0,17.3,224.9
649.0,650.0,1.0,39.8,517.4
650.0,667.0,17.0,26.5,344.5
667.0,691.0,24.0,16.8,218.4
691.0,692.0,1.0,40.4,525.2
692.0,709.0,17.0,27.1,352.3
709.0,733.0,24.0,17.2,223.6
733.0,734.0,1.0,39.6,514.8
734.0,752.0,18.0,26.9,349.7
752.0,775.0,23.0,16.9,219.7
775.0,776.0,1.0,40.3,523.9
776.0,793.0,17.0,26.6,345.8
793.0,817.0,24.0,17.4,226.2
817.0,818.0,1.0,39.7,516.1
818.0,836.0,18.0,27.0,351.0
836.0,859.0,23.0,16.8,218.4
859.0,860.0,1.0,40.2,522.6
860.0,877.0,17.0,26.8,348.4
877.0,901.0,24.0,17.1,222.3
901.0,902.0,1.0,39.9,518.7
902.0,919.0,17.0,27.0,351.0
919.0,943.0,24.0,17.3,224.9
943.0,944.0,1.0,40.1,521.3
944.0,950.0,6.0,26.9,349.7
950.0,1021.0,71.0,1.0,13.0
1021.0,1038.0,16.5,8.0,104.0
1038.0,1078.0,39.5,13.0,169.0
1078.0,1175.0,97.0,17.7,230.1
1175.0,1177.0,2.0,40.1,521.3
1177.0,1201.0,24.0,26.9,349.7
1201.0,1221.0,20.0,17.7,230.1
1221.0,1222.0,1.0,40.1,521.3
1222.0,1251.0,29.0,26.9,349.7
1251.0,1270.0,19.0,16.9,219.7
1270.0,1271.0,1.0,40.3,523.9
1271.0,1298.0,27.0,27.2,353.6
1298.0,1318.0,20.0,17.4,226.2
1318.0,1319.0,1.0,39.8,517.4
1319.0,1346.0,27.0,26.8,348.4
1346.0,1366.0,20.0,16.8,218.4
1366.0,1367.0,1.0,40.1,521.3
1367.0,1394.0,27.0,27.3,354.9
1394.0,1414.0,20.0,17.2,223.6
1414.0,1415.0,1.0,39.9,518.7
1415.0,1442.0,27.0,26.7,347.1
1442.0,1461.0,19.0,16.9,219.7
1461.0,1462.0,1.0,40.2,522.6
1462.0,1489.0,27.0,27.1,352.3
1489.0,1508.0,19.0,17.4,226.2
1508.0,1509.0,1.0,39.8,517.4
1509.0,1536.0,27.0,26.8,348.4
1536.0,1570.0,34.0,6.7,87.1
1570.0,1588.0,17.5,26.8,348.4
1588.0,1605.0,17.0,17.4,226.2
1605.0,1606.0,1.0,39.8,517.4
1606.0,1627.0,21.0,26.8,348.4
1627.0,1646.0,19.0,17.1,222.3
1646.0,1647.0,1.0,40.0,520.0
1647.0,1667.0,20.0,27.0,351.0
1667.0,1685.0,18.0,17.3,224.9
1685.0,1686.0,1.0,39.7,516.1
1686.0,1707.0,21.0,26.9,349.7
1707.0,1725.0,18.0,16.9,219.7
1725.0,1726.0,1.0,40.2,522.6
1726.0,1746.0,20.0,26.8,348.4
1746.0,1766.0,20.0,17.4,226.2
1766.0,1767.0,1.0,39.9,518.7
1767.0,1787.0,20.0,27.1,352.3
1787.0,1805.0,18.0,17.0,221.0
1805.0,1806.0,1.0,39.8,517.4
1806.0,1827.0,21.0,26.7,347.1
1827.0,1844.0,17.0,17.2,223.6
1844.0,1845.0,1.0,40.1,521.3
1845.0,1865.0,20.0,26.9,349.7
1865.0,1884.0,19.0,16.8,218.4
1884.0,1885.0,1.0,39.8,517.4
1885.0,1906.0,21.0,27.2,353.6
1906.0,1925.0,19.0,17.5,227.5
1925.0,1926.0,1.0,39.9,518.7
1926.0,1947.0,21.0,26.8,348.4
1947.0,2040.0,93.0,1.1,14.3
